split,model,auc,ap,brier,logloss,n_pix,prevalence
val,A,0.9840,0.9275,0.0244,0.0878,1720000,0.1140
val,B,0.9861,0.9322,0.0242,0.0854,1720000,0.1140
val,C,0.8366,0.5223,0.0704,0.2558,1720000,0.1140
val,D,0.9840,0.9302,0.0244,0.0879,1720000,0.1140
val,A_pos,0.9796,0.9088,0.0281,0.0990,1720000,0.1140
val,B_pos,0.9823,0.9070,0.0287,0.1016,1720000,0.1140
test,A,0.9848,0.9162,0.0297,0.1042,1780000,0.1350
test,B,0.9840,0.9128,0.0319,0.1121,1780000,0.1350
test,C,0.8336,0.5789,0.0771,0.2849,1780000,0.1350
test,D,0.9848,0.9173,0.0297,0.1044,1780000,0.1350
test,A_pos,0.9807,0.9129,0.0301,0.1061,1780000,0.1350
test,B_pos,0.9829,0.9141,0.0311,0.1137,1780000,0.1350
bolivia,A,0.9817,0.9254,0.0370,0.1268,300000,0.1696
bolivia,B,0.9822,0.9260,0.0373,0.1260,300000,0.1696
bolivia,C,0.7660,0.3646,0.1305,0.4116,300000,0.1696
bolivia,D,0.9817,0.9287,0.0370,0.1269,300000,0.1696
bolivia,A_pos,0.9833,0.9558,0.0257,0.1003,300000,0.1696
bolivia,B_pos,0.9852,0.9585,0.0265,0.1010,300000,0.1696

split,dAUC,dAP,dBrier,dLogLoss,dAUC_ci_lo,dAUC_ci_hi,dAP_ci_lo,dAP_ci_hi,pos_dAUC,pos_dAP
val,0.0021,0.0047,-0.0001,-0.0025,0.0008,0.0043,0.0002,0.0122,0.0027,-0.0017
test,-0.0009,-0.0034,0.0022,0.0079,-0.0038,0.0016,-0.0201,0.0060,0.0023,0.0012
bolivia,0.0004,0.0005,0.0003,-0.0008,-0.0014,0.0029,-0.0066,0.0121,0.0019,0.0027
