split,sample_id,location,selected,category,figure,iou_water_5sa,iou_water_v3,delta_iou_water,f1_water_5sa,f1_water_v3,viol_frac_5sa,viol_frac_v3,delta_viol_frac,viol_pairs_5sa,viol_pairs_v3,desc_pairs,water_frac_5sa,water_frac_v3
valid,India_1068117,India,True,positive,valid_India_1068117.png,0.63430745914602,0.6175633046295507,-0.01674415451646938,0.7762400588656272,0.7635723471990892,0.006810256315385398,0.0056031412740844885,-0.0012071150413009097,2945,2423,432436,0.22310110050846277,0.20417740475029603
test,Pakistan_849790,Pakistan,True,positive,test_Pakistan_849790.png,0.6883451922594737,0.6912853447506913,0.002940152491217596,0.8154081231910604,0.8174674331522599,0.011567564828834727,0.010626336086865864,-0.0009412287419688636,5936,5453,513159,0.5096466709946781,0.5110733597938104
valid,India_1050276,India,True,positive,valid_India_1050276.png,0.5679029632611625,0.5387106058425672,-0.02919235741859527,0.7244108552227642,0.7002104278700023,0.00708042150415442,0.006232131388935015,-0.000848290115219405,3539,3115,499829,0.15899837372886338,0.14317064090757686
test,India_1018327,India,True,positive,test_India_1018327.png,0.6732570464427091,0.6733843101411151,0.00012726369840598828,0.804726384238491,0.8048172868124109,0.004948103815930538,0.0041293104463896516,-0.0008187933695408866,2520,2103,509286,0.15527462215135307,0.1465388987647916
test,Spain_5650136,Spain,False,,,0.9059555442698178,0.8995793285471071,-0.006376215722710743,0.9506575816981024,0.9471353104638701,0.0055504314273395585,0.004764529632318029,-0.0007859017950215298,1017,873,183229,0.617479428424905,0.6216403645772629
test,India_952728,India,False,,,0.28359367420199866,0.2574320724560469,-0.02616160174595178,0.44187452758881335,0.40945682569273795,0.0034910856470727245,0.0027606431116852007,-0.0007304425353875238,1300,1028,372377,0.039116980012293606,0.031544755081710084
valid,Paraguay_934240,Paraguay,False,,,0.3042691999542177,0.29332358547220555,-0.010945614482012145,0.46657423170753115,0.453596592170876,0.003996651299341728,0.0033047394053380428,-0.0006919118940036852,2091,1729,523188,0.13969039916992188,0.11129379272460938
test,Sri-Lanka_649970,Sri-Lanka,False,,,0.4885255548083389,0.4586208374405349,-0.029904717367804035,0.6563885359311027,0.6288417464888052,0.00581833249107888,0.005127102973835898,-0.0006912295172429818,3005,2648,516471,0.06927986812597037,0.06398573920377221
test,Paraguay_868895,Paraguay,False,,,0.4707876117442698,0.46714031971580816,-0.003647292028461646,0.6401843583465361,0.6368038740920097,0.007017502923959551,0.006343752643230268,-0.0006737502807292834,2406,2175,342857,0.10787336505855868,0.10303479326361382
valid,India_769408,India,False,,,0.30574310906346813,0.2899594404436719,-0.015783668619796243,0.46830514661150996,0.4495636550308008,0.0039010055028955025,0.003295975107320868,-0.0006050303955746346,1354,1144,347090,0.04465996236647774,0.03980512429863507
