tile_id,split,dem_real_available,dem_shuffled_available,real_current_loss_weighted_viol_frac,real_current_loss_unweighted_viol_frac,real_current_loss_n_active_pairs,real_d8_weighted_viol_frac,real_d8_unweighted_viol_frac,real_d8_n_active_pixels,real_d8_s0,real_n_water,real_n_dry,real_n_valid,real_mean_elev_water,real_mean_elev_dry,real_median_elev_water,real_median_elev_dry,real_delta_mean_elev,real_delta_median_elev,real_elev_auc,shuffled_tile_id,shuffled_current_loss_weighted_viol_frac,shuffled_current_loss_unweighted_viol_frac,shuffled_current_loss_n_active_pairs,shuffled_d8_weighted_viol_frac,shuffled_d8_unweighted_viol_frac,shuffled_d8_n_active_pixels,shuffled_d8_s0,shuffled_n_water,shuffled_n_dry,shuffled_n_valid,shuffled_mean_elev_water,shuffled_mean_elev_dry,shuffled_median_elev_water,shuffled_median_elev_dry,shuffled_delta_mean_elev,shuffled_delta_median_elev,shuffled_elev_auc,delta_current_loss_weighted_viol_frac,delta_current_loss_unweighted_viol_frac,delta_d8_weighted_viol_frac,delta_d8_unweighted_viol_frac,delta_delta_mean_elev,delta_elev_auc
Bolivia_103757,bolivia,True,True,0.004650,0.010925,175098,0.004847,0.010232,86589,1.000000,35362,52715,88077,145.444824,147.139984,145.523193,146.931839,1.695160,1.408646,0.844881,Bolivia_129334,0.017844,0.017884,175133,0.020569,0.020027,86483,1.000000,35362,52715,88077,148.631927,148.409668,148.105347,147.883041,-0.222260,-0.222305,0.442426,-0.013194,-0.006958,-0.015722,-0.009795,1.917419,0.402455
Bolivia_129334,bolivia,True,True,0.007743,0.011032,464634,0.007713,0.010970,229529,1.000000,156643,81171,237814,147.637604,149.907425,147.665817,149.574081,2.269821,1.908264,0.910580,Bolivia_195474,0.015664,0.016001,473652,0.017991,0.017893,234835,1.000000,156643,81171,237814,165.503754,165.704086,164.504791,164.731186,0.200333,0.226395,0.527800,-0.007921,-0.004969,-0.010278,-0.006923,2.069489,0.382780
Bolivia_195474,bolivia,True,True,0.000166,0.000650,521451,0.000215,0.000773,258704,1.000000,1551,259784,261335,162.580994,165.449692,162.604706,164.456177,2.868698,1.851471,0.843098,Bolivia_23014,0.000712,0.000979,502492,0.000824,0.001143,248511,1.000000,1551,259784,261335,138.989456,139.379364,139.006943,138.939148,0.389908,-0.067795,0.531229,-0.000546,-0.000329,-0.000609,-0.000370,2.478790,0.311869
Bolivia_23014,bolivia,True,True,0.000109,0.000098,399629,0.000134,0.000142,197554,1.000000,7780,201699,209479,137.711395,139.703812,138.000000,139.263260,1.992416,1.263260,0.931186,Bolivia_233925,0.000396,0.000714,417383,0.000484,0.000726,206580,1.000000,7780,201699,209479,158.441742,156.555984,158.579819,157.216736,-1.885757,-1.363083,0.182458,-0.000287,-0.000616,-0.000351,-0.000584,3.878174,0.748729
Bolivia_233925,bolivia,True,True,0.000000,0.000000,296094,0.000000,0.000000,146336,1.000000,1,150536,150537,151.995407,156.578613,151.995407,157.127701,4.583206,5.132294,0.947587,Bolivia_242570,0.000007,0.000007,296011,0.000004,0.000007,145792,1.000000,1,150536,150537,134.175613,133.755539,134.175613,133.803955,-0.420074,-0.371658,0.233864,-0.000007,-0.000007,-0.000004,-0.000007,5.003281,0.713723
Bolivia_242570,bolivia,True,True,0.010892,0.010695,348020,0.013197,0.012418,171768,1.000000,27346,148161,175507,133.246338,133.794022,133.425751,133.846725,0.547684,0.420975,0.754074,Bolivia_290290,0.014665,0.012186,343422,0.017618,0.013985,170112,1.000000,27346,148161,175507,136.059143,135.804642,135.816986,135.452850,-0.254501,-0.364136,0.459274,-0.003773,-0.001491,-0.004422,-0.001567,0.802185,0.294800
Bolivia_290290,bolivia,True,True,0.001508,0.002409,403407,0.001868,0.002785,199262,1.000000,19699,184934,204633,133.568573,136.301468,133.854950,136.095551,2.732895,2.240601,0.952008,Bolivia_294583,0.003748,0.003514,363072,0.004611,0.004104,179316,1.000000,19699,184934,204633,129.605164,130.207855,128.740692,130.087708,0.602692,1.347015,0.579372,-0.002240,-0.001105,-0.002743,-0.001319,2.130203,0.372635
Bolivia_294583,bolivia,True,True,0.001207,0.001938,229655,0.001392,0.002163,113258,1.000000,15008,115464,130472,124.857903,131.720520,126.000000,130.763748,6.862617,4.763748,0.982837,Bolivia_312675,0.006096,0.006137,256166,0.007262,0.007096,126699,1.000000,15008,115464,130472,153.691422,154.037628,152.186707,152.267303,0.346207,0.080597,0.533780,-0.004889,-0.004199,-0.005870,-0.004932,6.516411,0.449056
Bolivia_312675,bolivia,True,True,0.001026,0.005605,311663,0.001401,0.006316,154046,1.000000,9575,148433,158008,151.160309,154.494110,151.143784,152.375122,3.333801,1.231339,0.929469,Bolivia_314919,0.002548,0.005894,310314,0.003415,0.006845,153254,1.000000,9575,148433,158008,146.985565,147.884415,146.636475,146.937927,0.898849,0.301453,0.601336,-0.001522,-0.000289,-0.002015,-0.000529,2.434952,0.328133
Bolivia_314919,bolivia,True,True,0.007603,0.011906,372907,0.008536,0.012936,184371,1.000000,83678,105167,188845,146.504028,149.639511,146.470856,149.120941,3.135483,2.650085,0.860740,Bolivia_360519,0.016228,0.016314,374950,0.018577,0.018262,185193,1.000000,83678,105167,188845,138.829742,139.202606,138.286118,138.115250,0.372864,-0.170868,0.467492,-0.008625,-0.004408,-0.010041,-0.005326,2.762619,0.393248
Bolivia_360519,bolivia,True,True,0.000841,0.001906,506777,0.001084,0.002209,250349,1.000000,2801,251290,254091,137.510529,138.998993,137.480362,138.249298,1.488464,0.768936,0.893700,Bolivia_379434,0.000795,0.002087,506483,0.001134,0.002418,250625,1.000000,2801,251290,254091,156.854279,157.749115,156.852570,157.191223,0.894836,0.338654,0.705198,0.000046,-0.000181,-0.000050,-0.000209,0.593628,0.188501
Bolivia_379434,bolivia,True,True,0.008814,0.006382,522900,0.009551,0.007478,258759,1.000000,10790,251354,262144,157.017914,157.780380,156.918808,157.196167,0.762466,0.277359,0.673297,Bolivia_432776,0.010866,0.009342,518076,0.011960,0.010891,256542,1.000000,10790,251354,262144,148.630127,148.580154,147.958633,147.943756,-0.049973,-0.014877,0.480786,-0.002052,-0.002961,-0.002409,-0.003413,0.812439,0.192511
