tile_id,split,dem_real_available,dem_shuffled_available,real_current_loss_weighted_viol_frac,real_current_loss_unweighted_viol_frac,real_current_loss_n_active_pairs,real_d8_weighted_viol_frac,real_d8_unweighted_viol_frac,real_d8_n_active_pixels,real_d8_s0,real_n_water,real_n_dry,real_n_valid,real_mean_elev_water,real_mean_elev_dry,real_median_elev_water,real_median_elev_dry,real_delta_mean_elev,real_delta_median_elev,real_elev_auc,shuffled_tile_id,shuffled_current_loss_weighted_viol_frac,shuffled_current_loss_unweighted_viol_frac,shuffled_current_loss_n_active_pairs,shuffled_d8_weighted_viol_frac,shuffled_d8_unweighted_viol_frac,shuffled_d8_n_active_pixels,shuffled_d8_s0,shuffled_n_water,shuffled_n_dry,shuffled_n_valid,shuffled_mean_elev_water,shuffled_mean_elev_dry,shuffled_median_elev_water,shuffled_median_elev_dry,shuffled_delta_mean_elev,shuffled_delta_median_elev,shuffled_elev_auc,delta_current_loss_weighted_viol_frac,delta_current_loss_unweighted_viol_frac,delta_d8_weighted_viol_frac,delta_d8_unweighted_viol_frac,delta_delta_mean_elev,delta_elev_auc
Ghana_1089161,train,True,True,0.000534,0.000529,471119,0.000577,0.000555,234330,1.000000,2907,233257,236164,165.162918,171.064438,165.170258,169.983871,5.901520,4.813614,0.740883,India_265762,0.000991,0.000809,471212,0.001200,0.000950,233590,1.000000,2907,233257,236164,90.875702,91.994781,90.384659,91.352974,1.119080,0.968315,0.649969,-0.000457,-0.000280,-0.000623,-0.000396,4.782440,0.090914
Ghana_134751,train,True,True,0.000000,0.000000,85400,0.000000,0.000000,42614,1.000000,0,43016,43016,,,,,,,,USA_1010394,0.000000,0.000000,85402,0.000000,0.000000,42568,1.000000,0,43016,43016,,,,,,,,0.000000,0.000000,0.000000,0.000000,,
Ghana_135389,train,True,True,0.003919,0.001541,48667,0.004537,0.001943,24185,1.000000,252,24372,24624,238.739120,253.112427,238.259872,253.497467,14.373306,15.237595,0.953665,India_979278,0.005210,0.001589,45949,0.005172,0.002197,22763,1.000000,252,24372,24624,54.684074,57.109753,54.289528,56.073776,2.425678,1.784248,0.768810,-0.001292,-0.000048,-0.000634,-0.000253,11.947628,0.184855
Ghana_141910,train,True,True,0.001918,0.001981,518507,0.002192,0.002098,256395,1.000000,70650,191494,262144,120.590744,122.864479,121.028671,121.805130,2.273735,0.776459,0.703078,Sri-Lanka_163406,0.002700,0.002828,507863,0.003320,0.003381,253193,1.000000,70650,191494,262144,36.386894,30.342163,36.453613,29.205139,-6.044731,-7.248474,0.286861,-0.000782,-0.000847,-0.001127,-0.001282,8.318466,0.416217
Ghana_144050,train,True,True,0.000000,0.000000,46581,0.000000,0.000000,23240,1.000000,0,23551,23551,,,,,,,,Ghana_161233,0.000000,0.000000,46575,0.000000,0.000000,23072,1.000000,0,23551,23551,,,,,,,,0.000000,0.000000,0.000000,0.000000,,
Ghana_156478,train,True,True,0.000000,0.000000,523253,0.000000,0.000000,260101,1.000000,0,262144,262144,,,,,,,,India_624341,0.000000,0.000000,523047,0.000000,0.000000,261333,1.000000,0,262144,262144,,,,,,,,0.000000,0.000000,0.000000,0.000000,,
Ghana_161233,train,True,True,0.000000,0.000000,3666,0.000000,0.000000,1801,1.000000,0,1892,1892,,,,,,,,India_25540,0.000000,0.000000,3667,0.000000,0.000000,1868,1.000000,0,1892,1892,,,,,,,,0.000000,0.000000,0.000000,0.000000,,
Ghana_168875,train,True,True,0.000000,0.000000,82710,0.000000,0.000000,41122,1.000000,0,41796,41796,,,,,,,,Pakistan_667363,0.000000,0.000000,82706,0.000000,0.000000,41126,1.000000,0,41796,41796,,,,,,,,0.000000,0.000000,0.000000,0.000000,,
Ghana_362274,train,True,True,0.004171,0.003563,517780,0.004651,0.003693,255897,1.000000,18364,241043,259407,120.865173,124.603745,120.696899,124.850739,3.738571,4.153839,0.917891,USA_181263,0.004657,0.004892,517528,0.005224,0.005528,257953,1.000000,18364,241043,259407,302.289337,307.539856,302.281738,305.680908,5.250519,3.399170,0.674345,-0.000486,-0.001329,-0.000573,-0.001835,-1.511948,0.243547
Ghana_83200,train,True,True,0.000268,0.000339,194937,0.000313,0.000395,96125,1.000000,533,97682,98215,107.796036,113.261009,107.438126,113.012932,5.464973,5.574806,0.963477,Paraguay_215904,0.000404,0.000380,194931,0.000425,0.000381,97192,1.000000,533,97682,98215,377.043518,373.281128,369.271881,375.004028,-3.762390,5.732147,0.436921,-0.000136,-0.000041,-0.000111,0.000015,9.227364,0.526556
