tile_id,event_location,layer,file_path,readable,error,width,height,bands,dtype,crs,transform,resolution,nodata,min_values,max_values,nan_count,nan_ratio,inf_count,inf_ratio,unique_values,label_counts_json,invalid_pct,non_water_pct,water_pct,unexpected_values,empty_mask,only_invalid,no_water
Bolivia_103757,Bolivia,JRCWaterHand,D:/flood_research/data/raw/sen1floods11/v1.1/data/flood_events/HandLabeled/JRCWaterHand/Bolivia_103757_JRCWaterHand.tif,True,,512,512,1,uint8,EPSG:4326,"8.9831528412e-05,0,-65.2651206741,0,-8.9831528412e-05,-14.212066447,0,0,1","8.9831528412e-05,8.9831528412e-05",,0.0,0.0,0,0.0,0,0.0,0,"{""0"": 262144}",0.0,100.0,0.0,,False,False,True
Bolivia_103757,Bolivia,LabelHand,D:/flood_research/data/raw/sen1floods11/v1.1/data/flood_events/HandLabeled/LabelHand/Bolivia_103757_LabelHand.tif,True,,512,512,1,int16,EPSG:4326,"8.9831528412e-05,0,-65.2651206741,0,-8.9831528412e-05,-14.212066447,0,0,1","8.9831528412e-05,8.9831528412e-05",,-1.0,1.0,0,0.0,0,0.0,"-1,0,1","{""-1"": 174067, ""0"": 52715, ""1"": 35362}",66.401291,20.109177,13.489532,,False,False,False
Bolivia_103757,Bolivia,S1Hand,D:/flood_research/data/raw/sen1floods11/v1.1/data/flood_events/HandLabeled/S1Hand/Bolivia_103757_S1Hand.tif,True,,512,512,2,"float32,float32",EPSG:4326,"8.9831528412e-05,0,-65.2651206741,0,-8.9831528412e-05,-14.212066447,0,0,1","8.9831528412e-05,8.9831528412e-05",nan,-40.821441650390625;-48.24835968017578,-0.6905989646911621;-6.994661331176758,321042,0.61233902,0,0.0,,,,,,,,,
Bolivia_103757,Bolivia,S1OtsuLabelHand,D:/flood_research/data/raw/sen1floods11/v1.1/data/flood_events/HandLabeled/S1OtsuLabelHand/Bolivia_103757_S1OtsuLabelHand.tif,True,,512,512,1,int16,EPSG:4326,"8.9831528412e-05,0,-65.2651206741,0,-8.9831528412e-05,-14.212066447,0,0,1","8.9831528412e-05,8.9831528412e-05",-1.0,-1.0,1.0,0,0.0,0,0.0,"-1,0,1","{""-1"": 11239, ""0"": 212787, ""1"": 38118}",4.287338,81.171799,14.540863,,False,False,False
Bolivia_103757,Bolivia,S2Hand,D:/flood_research/data/raw/sen1floods11/v1.1/data/flood_events/HandLabeled/S2Hand/Bolivia_103757_S2Hand.tif,True,,512,512,13,"int16,int16,int16,int16,int16,int16,int16,int16,int16,int16,int16,int16,int16",EPSG:4326,"8.9831528412e-05,0,-65.2651206741,0,-8.9831528412e-05,-14.212066447,0,0,1","8.9831528412e-05,8.9831528412e-05",0.0,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,4596.0;4839.0;4722.0;4972.0;4670.0;5001.0;5478.0;5179.0;5662.0;646.0;15.0;5162.0;4474.0,0,0.0,0,0.0,,,,,,,,,
Bolivia_129334,Bolivia,JRCWaterHand,D:/flood_research/data/raw/sen1floods11/v1.1/data/flood_events/HandLabeled/JRCWaterHand/Bolivia_129334_JRCWaterHand.tif,True,,512,512,1,uint8,EPSG:4326,"8.9831528412e-05,0,-65.2191269315,0,-8.9831528412e-05,-14.3960414172,0,0,1","8.9831528412e-05,8.9831528412e-05",,0.0,1.0,0,0.0,0,0.0,"0,1","{""0"": 257992, ""1"": 4152}",0.0,98.416138,1.583862,,False,False,False
Bolivia_129334,Bolivia,LabelHand,D:/flood_research/data/raw/sen1floods11/v1.1/data/flood_events/HandLabeled/LabelHand/Bolivia_129334_LabelHand.tif,True,,512,512,1,int16,EPSG:4326,"8.9831528412e-05,0,-65.2191269315,0,-8.9831528412e-05,-14.3960414172,0,0,1","8.9831528412e-05,8.9831528412e-05",,-1.0,1.0,0,0.0,0,0.0,"-1,0,1","{""-1"": 24330, ""0"": 81171, ""1"": 156643}",9.281158,30.964279,59.754562,,False,False,False
Bolivia_129334,Bolivia,S1Hand,D:/flood_research/data/raw/sen1floods11/v1.1/data/flood_events/HandLabeled/S1Hand/Bolivia_129334_S1Hand.tif,True,,512,512,2,"float32,float32",EPSG:4326,"8.9831528412e-05,0,-65.2191269315,0,-8.9831528412e-05,-14.3960414172,0,0,1","8.9831528412e-05,8.9831528412e-05",nan,-36.82529830932617;-54.34866714477539,0.4744816720485687;-6.3170928955078125,1498,0.00285721,0,0.0,,,,,,,,,
Bolivia_129334,Bolivia,S1OtsuLabelHand,D:/flood_research/data/raw/sen1floods11/v1.1/data/flood_events/HandLabeled/S1OtsuLabelHand/Bolivia_129334_S1OtsuLabelHand.tif,True,,512,512,1,int16,EPSG:4326,"8.9831528412e-05,0,-65.2191269315,0,-8.9831528412e-05,-14.3960414172,0,0,1","8.9831528412e-05,8.9831528412e-05",-1.0,0.0,1.0,0,0.0,0,0.0,"0,1","{""0"": 82738, ""1"": 179406}",0.0,31.562042,68.437958,,False,False,False
Bolivia_129334,Bolivia,S2Hand,D:/flood_research/data/raw/sen1floods11/v1.1/data/flood_events/HandLabeled/S2Hand/Bolivia_129334_S2Hand.tif,True,,512,512,13,"int16,int16,int16,int16,int16,int16,int16,int16,int16,int16,int16,int16,int16",EPSG:4326,"8.9831528412e-05,0,-65.2191269315,0,-8.9831528412e-05,-14.3960414172,0,0,1","8.9831528412e-05,8.9831528412e-05",0.0,1171.0;773.0;475.0;274.0;226.0;163.0;87.0;139.0;26.0;32.0;3.0;26.0;2.0,3957.0;4108.0;3928.0;4074.0;3840.0;4144.0;4941.0;4644.0;5375.0;498.0;13.0;5078.0;3904.0,0,0.0,0,0.0,,,,,,,,,
